hidden_dim,num_layers,learning_rate,timesteps,epochs,batch_size,iteration,MAPE,R²
10,1,0.01,10,150,4,2,0.26108047946896457,-1.0439028048830497
10,1,0.01,10,150,4,3,0.3214665169094644,-1.6861464006728895
10,1,0.01,10,150,8,1,0.2878447260143698,-1.3296857941103166
10,1,0.01,10,150,8,2,0.27975928108668124,-1.2607613595188285
10,1,0.01,10,150,8,3,0.2913851411173155,-1.2947883582719713
10,1,0.01,10,150,16,1,0.2543470454819428,-0.9482363961345937
10,1,0.01,10,150,16,2,0.2267002815669292,-0.5825118043872406
10,1,0.01,10,150,16,3,0.24395513545724484,-0.8418708709057523
10,1,0.1,1,50,4,1,0.359055879209162,-2.10573889082118
10,1,0.1,1,50,4,2,0.41536456618992634,-2.67902184885972
10,1,0.1,1,50,4,3,0.4190607466520554,-2.7203187804038875
10,1,0.1,1,50,8,1,0.29221166860265363,-1.401117489028863
10,1,0.1,1,50,8,2,0.3714807549481242,-2.2190097168349014
10,1,0.1,1,50,8,3,0.40494717342523245,-2.715774396881231
10,1,0.1,1,50,16,1,0.3624142776305568,-2.086957579563482
10,1,0.1,1,50,16,2,0.36493212927235913,-2.1230905893644083
10,1,0.1,1,50,16,3,0.3186404480764684,-1.6747233840204112
10,1,0.1,1,100,4,1,0.3532153777062763,-2.078637217384502
10,1,0.1,1,100,4,2,0.35627255756592835,-2.320194015916484
10,1,0.1,1,100,4,3,0.3061762758431666,-1.3182022255296446
10,1,0.1,1,100,8,1,0.3111158068091871,-1.6860807729216791
10,1,0.1,1,100,8,2,0.28841752604360943,-1.2966050019319417
10,1,0.1,1,100,8,3,0.3092725424499276,-1.5937658019122232
10,1,0.1,1,100,16,1,0.2764117521518952,-1.1216894041110455
10,1,0.1,1,100,16,2,0.32537506773384867,-1.7785049344728594
